Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-5334.120000	116639.145000	-13982.985000	-37733.445000	0.000000	0.000000	0.000000	0.000000	-0.197301	1.900760	0.037413	-1.001075	0.000000	0.000000	-0.000000	0.000000	4.379620	-1.037680	-1.968540	-0.127136	0.786192	0.618101	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	29.793103	0.000000	-1.000000	-1.000000	103218.000000	1772914143.035971
-5319.135000	116634.105000	-13972.320000	-37723.455000	0.000000	0.000000	0.000000	0.000000	-3.199178	-6.332593	1.374910	-2.850468	0.000000	0.000000	-0.000000	0.000000	4.379620	-1.037680	-1.968540	-0.127136	0.786192	0.618101	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	29.793103	0.000000	-1.000000	-1.000000	103219.000000	1772914143.035974
-5309.820000	116637.795000	-13962.015000	-37713.960000	0.000000	0.000000	0.000000	0.000000	-5.147830	-11.488958	2.068977	-2.842457	0.000000	0.000000	-0.000000	0.000000	4.379620	-1.037680	-1.968540	-0.127136	0.786192	0.618101	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	29.793103	0.000000	-1.000000	-1.000000	103220.000000	1772914143.039988
-5321.520000	116648.775000	-13980.960000	-37729.980000	0.000000	0.000000	0.000000	0.000000	-3.642022	-10.337577	2.406753	-0.789662	0.000000	0.000000	-0.000000	0.000000	4.379620	-1.037680	-1.968540	-0.127136	0.786192	0.618101	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	29.793103	0.000000	-1.000000	-1.000000	103221.000000	1772914143.039990
-5305.140000	116662.185000	-13979.115000	-37723.050000	0.000000	0.000000	0.000000	0.000000	0.196198	-3.107301	1.325066	1.145716	0.000000	0.000000	-0.000000	0.000000	3.631880	-1.602300	-0.915600	-0.128357	0.784727	0.615721	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	29.793103	0.000000	-1.000000	-1.000000	103222.000000	1772914143.045780
-5291.865000	116670.645000	-13969.620000	-37710.270000	0.000000	0.000000	0.000000	0.000000	4.006399	6.470320	-1.273445	1.567732	0.000000	0.000000	-0.000000	0.000000	3.631880	-1.602300	-0.915600	-0.128357	0.784727	0.615721	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	29.793103	0.000000	-1.000000	-1.000000	103223.000000	1772914143.045784
-5293.395000	116657.595000	-13962.375000	-37704.870000	0.000000	0.000000	0.000000	0.000000	6.482043	12.929961	-3.049797	1.542319	0.000000	0.000000	-0.000000	0.000000	3.631880	-1.602300	-0.915600	-0.128357	0.784727	0.615721	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	29.793103	0.000000	-1.000000	-1.000000	103224.000000	1772914143.049118
-5304.645000	116638.605000	-13971.015000	-37720.305000	0.000000	0.000000	0.000000	0.000000	6.104769	11.864426	-2.466742	1.593755	0.000000	0.000000	-0.000000	0.000000	3.631880	-1.602300	-0.915600	-0.128357	0.784727	0.615721	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	29.793103	0.000000	-1.000000	-1.000000	103225.000000	1772914143.049120
-5312.340000	116625.330000	-13967.550000	-37720.620000	0.000000	0.000000	0.000000	0.000000	1.770635	3.130696	-0.803258	0.396992	0.000000	0.000000	-0.000000	0.000000	3.631880	-1.602300	-0.915600	-0.128357	0.784727	0.615721	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	29.793103	0.000000	-1.000000	-1.000000	103226.000000	1772914143.052232
-5314.815000	116617.230000	-13966.470000	-37720.170000	0.000000	0.000000	0.000000	0.000000	-4.870257	-8.189622	0.205372	-2.319986	0.000000	0.000000	-0.000000	0.000000	3.631880	-1.602300	-0.915600	-0.128357	0.784727	0.615721	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	29.793103	0.000000	-1.000000	-1.000000	103227.000000	1772914143.052235
-5309.595000	116617.860000	-13970.385000	-37719.855000	0.000000	0.000000	0.000000	0.000000	-9.772690	-15.124304	0.243157	-4.569078	0.000000	0.000000	-0.000000	0.000000	3.631880	-1.602300	-0.915600	-0.128357	0.784727	0.615721	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	29.793103	0.000000	-1.000000	-1.000000	103228.000000	1772914143.056061
-5297.580000	116628.795000	-13972.455000	-37716.075000	0.000000	0.000000	0.000000	0.000000	-9.475386	-13.473384	-0.334317	-4.452517	0.000000	0.000000	-0.000000	0.000000	3.631880	-1.602300	-0.915600	-0.128357	0.784727	0.615721	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	29.793103	0.000000	-1.000000	-1.000000	103229.000000	1772914143.056064
-5289.435000	116643.105000	-13961.655000	-37703.610000	0.000000	0.000000	0.000000	0.000000	-3.719362	-3.981957	-0.862461	-1.714767	0.000000	0.000000	-0.000000	0.000000	3.631880	-1.602300	-0.915600	-0.128357	0.784727	0.615721	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	29.793103	0.000000	-1.000000	-1.000000	103230.000000	1772914143.060783
-5287.905000	116650.845000	-13961.250000	-37700.730000	0.000000	0.000000	0.000000	0.000000	4.148932	8.368990	-0.393426	2.473510	0.000000	0.000000	-0.000000	0.000000	3.631880	-1.602300	-0.915600	-0.128357	0.784727	0.615721	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	29.793103	0.000000	-1.000000	-1.000000	103231.000000	1772914143.060786
-5298.210000	116652.060000	-13969.350000	-37711.035000	0.000000	0.000000	0.000000	0.000000	9.206390	17.019044	0.899007	5.664908	0.000000	0.000000	-0.000000	0.000000	3.464020	-2.014320	-0.518840	-0.130005	0.784483	0.616087	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	29.793103	0.000000	-1.000000	-1.000000	103232.000000	1772914143.064122
-5290.875000	116643.645000	-13959.405000	-37706.130000	0.000000	0.000000	0.000000	0.000000	8.526496	17.346045	1.667415	5.479605	0.000000	0.000000	-0.000000	0.000000	3.464020	-2.014320	-0.518840	-0.130005	0.784483	0.616087	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	29.793103	0.000000	-1.000000	-1.000000	103233.000000	1772914143.064125
-5299.065000	116623.530000	-13963.095000	-37710.585000	0.000000	0.000000	0.000000	0.000000	3.350707	8.963990	1.412786	2.050775	0.000000	0.000000	-0.000000	0.000000	3.464020	-2.014320	-0.518840	-0.130005	0.784483	0.616087	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	29.793103	0.000000	-1.000000	-1.000000	103234.000000	1772914143.068073
-5310.180000	116611.785000	-13977.045000	-37725.300000	0.000000	0.000000	0.000000	0.000000	-2.895133	-4.252816	0.371978	-2.452513	0.000000	0.000000	-0.000000	0.000000	3.464020	-2.014320	-0.518840	-0.130005	0.784483	0.616087	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	29.793103	0.000000	-1.000000	-1.000000	103235.000000	1772914143.068076
-5319.765000	116608.860000	-13980.600000	-37728.315000	0.000000	0.000000	0.000000	0.000000	-7.610926	-15.764550	-1.533196	-6.115055	0.000000	0.000000	-0.000000	0.000000	3.464020	-2.014320	-0.518840	-0.130005	0.784483	0.616087	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	29.793103	0.000000	-1.000000	-1.000000	103236.000000	1772914143.072023
-5313.105000	116612.280000	-13975.245000	-37720.305000	0.000000	0.000000	0.000000	0.000000	-9.162739	-19.554587	-3.456043	-7.303393	0.000000	0.000000	-0.000000	0.000000	3.464020	-2.014320	-0.518840	-0.130005	0.784483	0.616087	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	29.793103	0.000000	-1.000000	-1.000000	103237.000000	1772914143.072025
-5298.210000	116621.280000	-13969.890000	-37711.260000	0.000000	0.000000	0.000000	0.000000	-6.275266	-13.715400	-3.390195	-4.609183	0.000000	0.000000	-0.000000	0.000000	3.464020	-2.014320	-0.518840	-0.130005	0.784483	0.616087	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	29.793103	0.000000	-1.000000	-1.000000	103238.000000	1772914143.076011
-5286.420000	116633.880000	-13963.545000	-37701.405000	0.000000	0.000000	0.000000	0.000000	0.775294	-1.420260	-0.479040	1.439926	0.000000	0.000000	-0.000000	0.000000	3.464020	-2.014320	-0.518840	-0.130005	0.784483	0.616087	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	29.793103	0.000000	-1.000000	-1.000000	103239.000000	1772914143.076013
-5273.235000	116639.955000	-13952.565000	-37689.345000	0.000000	0.000000	0.000000	0.000000	8.992255	11.196215	3.880171	7.969893	0.000000	0.000000	-0.000000	0.000000	3.464020	-2.014320	-0.518840	-0.130005	0.784483	0.616087	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	29.793103	0.000000	-1.000000	-1.000000	103240.000000	1772914143.080049
-5267.250000	116637.345000	-13945.725000	-37686.690000	0.000000	0.000000	0.000000	0.000000	14.053252	18.149244	7.324610	11.573546	0.000000	0.000000	-0.000000	0.000000	3.464020	-2.014320	-0.518840	-0.130005	0.784483	0.616087	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	29.793103	0.000000	-1.000000	-1.000000	103241.000000	1772914143.080052
-5296.815000	116623.755000	-13956.120000	-37700.955000	0.000000	0.000000	0.000000	0.000000	12.502772	16.219264	7.727236	9.916058	0.000000	0.000000	-0.000000	0.000000	3.158820	-2.273740	-0.534100	-0.129150	0.786070	0.615355	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	29.793103	0.000000	-1.000000	-1.000000	103242.000000	1772914143.086228
-5296.860000	116609.445000	-13956.975000	-37706.220000	0.000000	0.000000	0.000000	0.000000	3.650078	6.402144	4.030084	2.847339	0.000000	0.000000	-0.000000	0.000000	3.158820	-2.273740	-0.534100	-0.129150	0.786070	0.615355	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	29.793103	0.000000	-1.000000	-1.000000	103243.000000	1772914143.086231
-5290.155000	116604.495000	-13961.745000	-37711.665000	0.000000	0.000000	0.000000	0.000000	-8.115350	-6.314495	-2.423607	-6.561591	0.000000	0.000000	-0.000000	0.000000	3.158820	-2.273740	-0.534100	-0.129150	0.786070	0.615355	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	29.793103	0.000000	-1.000000	-1.000000	103244.000000	1772914143.088015
-5305.725000	116609.580000	-13974.480000	-37719.270000	0.000000	0.000000	0.000000	0.000000	-15.679217	-15.206536	-8.445263	-13.436351	0.000000	0.000000	-0.000000	0.000000	3.158820	-2.273740	-0.534100	-0.129150	0.786070	0.615355	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	29.793103	0.000000	-1.000000	-1.000000	103245.000000	1772914143.088018
-5299.020000	116621.595000	-13964.940000	-37704.690000	0.000000	0.000000	0.000000	0.000000	-15.522106	-15.536127	-11.190740	-14.228478	0.000000	0.000000	-0.000000	0.000000	3.158820	-2.273740	-0.534100	-0.129150	0.786070	0.615355	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	29.793103	0.000000	-1.000000	-1.000000	103246.000000	1772914143.094030
-5277.645000	116636.085000	-13950.090000	-37686.195000	0.000000	0.000000	0.000000	0.000000	-8.637733	-7.394633	-8.905557	-8.092049	0.000000	0.000000	-0.000000	0.000000	3.158820	-2.273740	-0.534100	-0.129150	0.786070	0.615355	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	29.793103	0.000000	-1.000000	-1.000000	103247.000000	1772914143.094033
-5275.395000	116637.885000	-13951.755000	-37683.495000	0.000000	0.000000	0.000000	0.000000	1.945546	4.327721	-1.971217	2.484248	0.000000	0.000000	-0.000000	0.000000	3.158820	-2.273740	-0.534100	-0.129150	0.786070	0.615355	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	29.793103	0.000000	-1.000000	-1.000000	103248.000000	1772914143.096065
-5300.595000	116642.430000	-13975.785000	-37709.145000	0.000000	0.000000	0.000000	0.000000	10.927465	12.905493	5.433894	11.361109	0.000000	0.000000	-0.000000	0.000000	3.158820	-2.273740	-0.534100	-0.129150	0.786070	0.615355	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	29.793103	0.000000	-1.000000	-1.000000	103249.000000	1772914143.096068
