Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
3748.545000	90877.410000	-10746.315000	-25213.815000	0.000000	0.000000	0.000000	0.000000	-10.337868	-19.426045	-7.166551	-9.821184	0.000000	0.000000	-0.000000	-0.000000	11.597600	3.189340	2.350040	-0.080688	0.803709	0.594786	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	13.724138	0.000000	-1.000000	-1.000000	362862.000000	1772914662.350248
3752.370000	90899.460000	-10746.765000	-25211.430000	0.000000	0.000000	0.000000	0.000000	0.159507	2.702738	-4.128834	-3.073144	0.000000	0.000000	-0.000000	-0.000000	11.597600	3.189340	2.350040	-0.080688	0.803709	0.594786	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	13.724138	0.000000	-1.000000	-1.000000	362863.000000	1772914662.350250
3753.180000	90912.195000	-10742.400000	-25203.195000	0.000000	0.000000	0.000000	0.000000	9.465468	23.143622	0.179671	4.149366	0.000000	0.000000	-0.000000	-0.000000	11.597600	3.189340	2.350040	-0.080688	0.803709	0.594786	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	13.724138	0.000000	-1.000000	-1.000000	362864.000000	1772914662.354135
3741.255000	90902.835000	-10745.775000	-25206.345000	0.000000	0.000000	0.000000	0.000000	12.553098	31.555631	3.809129	8.581277	0.000000	0.000000	-0.000000	-0.000000	11.597600	3.189340	2.350040	-0.080688	0.803709	0.594786	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	13.724138	0.000000	-1.000000	-1.000000	362865.000000	1772914662.354138
3732.165000	90878.040000	-10744.065000	-25205.490000	0.000000	0.000000	0.000000	0.000000	8.231579	23.781548	5.338091	8.658663	0.000000	0.000000	-0.000000	-0.000000	11.597600	3.189340	2.350040	-0.080688	0.803709	0.594786	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	13.724138	0.000000	-1.000000	-1.000000	362866.000000	1772914662.357984
3726.045000	90858.465000	-10743.615000	-25208.685000	0.000000	0.000000	0.000000	0.000000	-0.501157	3.726552	4.494578	4.865478	0.000000	0.000000	-0.000000	-0.000000	11.597600	3.189340	2.350040	-0.080688	0.803709	0.594786	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	13.724138	0.000000	-1.000000	-1.000000	362867.000000	1772914662.357987
3726.675000	90852.435000	-10747.170000	-25222.005000	0.000000	0.000000	0.000000	0.000000	-8.301686	-18.163773	2.127358	-0.820031	0.000000	0.000000	-0.000000	-0.000000	11.597600	3.189340	2.350040	-0.080688	0.803709	0.594786	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	13.724138	0.000000	-1.000000	-1.000000	362868.000000	1772914662.361982
3734.280000	90867.015000	-10750.815000	-25225.740000	0.000000	0.000000	0.000000	0.000000	-10.726468	-30.140800	-0.668026	-6.154411	0.000000	0.000000	-0.000000	-0.000000	11.597600	3.189340	2.350040	-0.080688	0.803709	0.594786	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	13.724138	0.000000	-1.000000	-1.000000	362869.000000	1772914662.361984
3744.945000	90891.450000	-10749.690000	-25220.565000	0.000000	0.000000	0.000000	0.000000	-6.667121	-25.759100	-2.937569	-8.914486	0.000000	0.000000	-0.000000	-0.000000	11.597600	3.189340	2.350040	-0.080688	0.803709	0.594786	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	13.724138	0.000000	-1.000000	-1.000000	362870.000000	1772914662.366121
3751.695000	90914.040000	-10747.845000	-25213.365000	0.000000	0.000000	0.000000	0.000000	1.297501	-7.668923	-3.772627	-7.341713	0.000000	0.000000	-0.000000	-0.000000	11.597600	3.189340	2.350040	-0.080688	0.803709	0.594786	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	13.724138	0.000000	-1.000000	-1.000000	362871.000000	1772914662.366124
3758.085000	90921.645000	-10741.230000	-25203.465000	0.000000	0.000000	0.000000	0.000000	8.573505	13.854953	-2.691242	-1.707154	0.000000	0.000000	-0.000000	-0.000000	3.647140	2.792580	1.709120	-0.078369	0.822630	0.585936	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	13.724138	0.000000	-1.000000	-1.000000	362872.000000	1772914662.370090
3783.375000	90915.480000	-10708.560000	-25174.530000	0.000000	0.000000	0.000000	0.000000	11.749026	26.888423	0.378248	5.654528	0.000000	0.000000	-0.000000	-0.000000	3.647140	2.792580	1.709120	-0.078369	0.822630	0.585936	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	13.724138	0.000000	-1.000000	-1.000000	362873.000000	1772914662.370092
3773.835000	90901.845000	-10709.595000	-25179.390000	0.000000	0.000000	0.000000	0.000000	10.233501	24.780213	4.833591	11.595423	0.000000	0.000000	-0.000000	-0.000000	3.647140	2.792580	1.709120	-0.078369	0.822630	0.585936	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	13.724138	0.000000	-1.000000	-1.000000	362874.000000	1772914662.374005
3734.685000	90881.505000	-10740.645000	-25210.260000	0.000000	0.000000	0.000000	0.000000	4.012567	9.559158	7.420472	12.122443	0.000000	0.000000	-0.000000	-0.000000	3.647140	2.792580	1.709120	-0.078369	0.822630	0.585936	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	13.724138	0.000000	-1.000000	-1.000000	362875.000000	1772914662.374008
3729.465000	90869.220000	-10745.820000	-25218.090000	0.000000	0.000000	0.000000	0.000000	-6.550394	-10.056073	3.893867	4.589969	0.000000	0.000000	-0.000000	-0.000000	3.647140	2.792580	1.709120	-0.078369	0.822630	0.585936	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	13.724138	0.000000	-1.000000	-1.000000	362876.000000	1772914662.378039
3738.825000	90875.880000	-10739.835000	-25210.080000	0.000000	0.000000	0.000000	0.000000	-16.754157	-23.667822	-4.626104	-7.419212	0.000000	0.000000	-0.000000	-0.000000	3.647140	2.792580	1.709120	-0.078369	0.822630	0.585936	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	13.724138	0.000000	-1.000000	-1.000000	362877.000000	1772914662.378042
3732.795000	90895.185000	-10753.065000	-25219.890000	0.000000	0.000000	0.000000	0.000000	-19.387928	-24.232289	-11.649946	-15.722861	0.000000	0.000000	-0.000000	-0.000000	3.647140	2.792580	1.709120	-0.078369	0.822630	0.585936	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	13.724138	0.000000	-1.000000	-1.000000	362878.000000	1772914662.382051
3723.660000	90919.125000	-10773.180000	-25236.495000	0.000000	0.000000	0.000000	0.000000	-12.482478	-11.578704	-12.873767	-15.740742	0.000000	0.000000	-0.000000	-0.000000	3.647140	2.792580	1.709120	-0.078369	0.822630	0.585936	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	13.724138	0.000000	-1.000000	-1.000000	362879.000000	1772914662.382054
3752.955000	90934.290000	-10747.035000	-25201.305000	0.000000	0.000000	0.000000	0.000000	-0.373332	7.340290	-8.652546	-8.786879	0.000000	0.000000	-0.000000	-0.000000	3.647140	2.792580	1.709120	-0.078369	0.822630	0.585936	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	13.724138	0.000000	-1.000000	-1.000000	362880.000000	1772914662.386048
3762.270000	90929.340000	-10730.340000	-25182.270000	0.000000	0.000000	0.000000	0.000000	11.780819	22.074147	-0.243115	2.393006	0.000000	0.000000	-0.000000	-0.000000	3.647140	2.792580	1.709120	-0.078369	0.822630	0.585936	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	13.724138	0.000000	-1.000000	-1.000000	362881.000000	1772914662.386050
3747.060000	90907.920000	-10733.040000	-25191.990000	0.000000	0.000000	0.000000	0.000000	19.502731	24.279569	10.033950	13.871215	0.000000	0.000000	-0.000000	-0.000000	-8.164100	1.724380	-1.236060	-0.076477	0.829954	0.581358	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	13.724138	0.000000	-1.000000	-1.000000	362882.000000	1772914662.390123
3739.005000	90883.440000	-10735.020000	-25205.265000	0.000000	0.000000	0.000000	0.000000	18.659705	12.492210	16.898169	19.096180	0.000000	0.000000	-0.000000	-0.000000	-8.164100	1.724380	-1.236060	-0.076477	0.829954	0.581358	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	13.724138	0.000000	-1.000000	-1.000000	362883.000000	1772914662.390126
3740.760000	90866.745000	-10733.265000	-25218.000000	0.000000	0.000000	0.000000	0.000000	9.232782	-6.714340	15.945995	13.819673	0.000000	0.000000	-0.000000	-0.000000	-8.164100	1.724380	-1.236060	-0.076477	0.829954	0.581358	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	13.724138	0.000000	-1.000000	-1.000000	362884.000000	1772914662.394025
3728.430000	90867.735000	-10746.450000	-25225.155000	0.000000	0.000000	0.000000	0.000000	-3.295948	-22.379626	7.761430	0.972968	0.000000	0.000000	-0.000000	-0.000000	-8.164100	1.724380	-1.236060	-0.076477	0.829954	0.581358	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	13.724138	0.000000	-1.000000	-1.000000	362885.000000	1772914662.394028
3707.235000	90887.130000	-10776.420000	-25245.990000	0.000000	0.000000	0.000000	0.000000	-12.903272	-25.440665	-3.786914	-11.898740	0.000000	0.000000	-0.000000	-0.000000	-8.164100	1.724380	-1.236060	-0.076477	0.829954	0.581358	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	13.724138	0.000000	-1.000000	-1.000000	362886.000000	1772914662.398056
3733.785000	90919.080000	-10760.940000	-25222.320000	0.000000	0.000000	0.000000	0.000000	-16.264672	-13.734443	-13.961148	-18.018980	0.000000	0.000000	-0.000000	-0.000000	-8.164100	1.724380	-1.236060	-0.076477	0.829954	0.581358	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	13.724138	0.000000	-1.000000	-1.000000	362887.000000	1772914662.398059
3765.330000	90945.135000	-10734.345000	-25189.920000	0.000000	0.000000	0.000000	0.000000	-11.431721	6.834309	-17.123457	-13.695558	0.000000	0.000000	-0.000000	-0.000000	-8.164100	1.724380	-1.236060	-0.076477	0.829954	0.581358	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	13.724138	0.000000	-1.000000	-1.000000	362888.000000	1772914662.402188
3774.060000	90953.595000	-10721.565000	-25178.490000	0.000000	0.000000	0.000000	0.000000	0.630000	25.237694	-10.003035	-0.268268	0.000000	0.000000	-0.000000	-0.000000	-8.164100	1.724380	-1.236060	-0.076477	0.829954	0.581358	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	13.724138	0.000000	-1.000000	-1.000000	362889.000000	1772914662.402190
3759.570000	90936.135000	-10728.315000	-25189.785000	0.000000	0.000000	0.000000	0.000000	12.927673	30.974524	3.189020	14.168833	0.000000	0.000000	-0.000000	-0.000000	-8.164100	1.724380	-1.236060	-0.076477	0.829954	0.581358	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	13.724138	0.000000	-1.000000	-1.000000	362890.000000	1772914662.406108
3726.045000	90906.255000	-10751.220000	-25225.245000	0.000000	0.000000	0.000000	0.000000	16.132433	19.825457	12.763191	19.097939	0.000000	0.000000	-0.000000	-0.000000	-8.164100	1.724380	-1.236060	-0.076477	0.829954	0.581358	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	13.724138	0.000000	-1.000000	-1.000000	362891.000000	1772914662.406111
3685.725000	90878.625000	-10782.405000	-25262.865000	0.000000	0.000000	0.000000	0.000000	6.425694	-3.281244	11.537148	9.758148	0.000000	0.000000	-0.000000	-0.000000	-13.138860	3.830260	-2.853620	-0.074035	0.820982	0.580016	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	13.724138	0.000000	-1.000000	-1.000000	362892.000000	1772914662.410085
3686.355000	90870.885000	-10780.245000	-25258.680000	0.000000	0.000000	0.000000	0.000000	-10.426189	-26.318805	0.836508	-8.143111	0.000000	0.000000	-0.000000	-0.000000	-13.138860	3.830260	-2.853620	-0.074035	0.820982	0.580016	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	13.724138	0.000000	-1.000000	-1.000000	362893.000000	1772914662.410088
3718.260000	90885.105000	-10758.510000	-25230.015000	0.000000	0.000000	0.000000	0.000000	-21.784095	-36.553244	-10.044466	-21.229119	0.000000	0.000000	-0.000000	-0.000000	-13.138860	3.830260	-2.853620	-0.074035	0.820982	0.580016	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	13.724138	0.000000	-1.000000	-1.000000	362894.000000	1772914662.414145
3748.500000	90916.245000	-10739.430000	-25202.790000	0.000000	0.000000	0.000000	0.000000	-17.428825	-27.762289	-11.533329	-18.685849	0.000000	0.000000	-0.000000	-0.000000	-13.138860	3.830260	-2.853620	-0.074035	0.820982	0.580016	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	13.724138	0.000000	-1.000000	-1.000000	362895.000000	1772914662.414148
